J_tot,S_tot,L_tot,SU_tot,ModEx,HO_n,Yoshida,Hosaka,Roberts,Kim,Mohanta
0.5,0.5,0,1.333333333,grd,0,5618,5637,5612,5620,5667
0.5,0.5,1,1.333333333,lam,1,5938,6010,5939,5914,-1
1.5,0.5,1,1.333333333,lam,1,5939,6010,5941,5927,-1
0.5,0.5,1,1.333333333,rho,1,6236,-1,6180,6207,-1
0.5,1.5,1,1.333333333,rho,1,6273,5870,-1,6233,-1
1.5,0.5,1,1.333333333,rho,1,6273,-1,6191,-1,-1
1.5,1.5,1,1.333333333,rho,1,6285,5880,-1,-1,-1
2.5,1.5,1,1.333333333,rho,1,6289,-1,6206,-1,-1
1.5,0.5,2,1.333333333,lam,2,6211,6010,6181,6172,-1
2.5,0.5,2,1.333333333,lam,2,6212,6010,6183,6178,-1
0.5,0.5,0,1.333333333,rpl,2,6153,-1,6107,6121,-1
0.5,0.5,0,1.333333333,rpr,2,-1,-1,-1,-1,-1
1.5,0.5,2,1.333333333,mix,2,6488,-1,6401,-1,-1
2.5,0.5,2,1.333333333,mix,2,6530,-1,6422,-1,-1
0.5,1.5,2,1.333333333,mix,2,6467,-1,-1,-1,-1
1.5,1.5,2,1.333333333,mix,2,6511,6360,-1,-1,-1
2.5,1.5,2,1.333333333,mix,2,6539,6360,-1,-1,-1
3.5,1.5,2,1.333333333,mix,2,-1,-1,6433,-1,-1
0.5,0.5,1,1.333333333,mix,2,-1,-1,-1,-1,-1
1.5,0.5,1,1.333333333,mix,2,-1,-1,-1,-1,-1
0.5,1.5,1,1.333333333,mix,2,-1,6220,-1,-1,-1
1.5,1.5,1,1.333333333,mix,2,-1,6230,-1,-1,-1
2.5,1.5,1,1.333333333,mix,2,-1,-1,-1,-1,-1
1.5,1.5,0,1.333333333,mix,2,-1,-1,-1,-1,-1
0.5,0.5,0,1.333333333,mix,2,-1,-1,-1,-1,-1
1.5,0.5,2,1.333333333,rho,2,-1,6520,-1,-1,-1
2.5,0.5,2,1.333333333,rho,2,-1,6520,-1,-1,-1
