J_tot,S_tot,L_tot,SU_tot,ModEx,HO_n,Yoshida,Hosaka,Roberts,Kim,Mohanta
0.5,0.5,0,3.333333333,grd,0,-1,5903,-1,5934,5946
1.5,1.5,0,3.333333333,grd,0,-1,-1,-1,5952,-1
0.5,0.5,1,3.333333333,lam,1,-1,-1,-1,6164,-1
0.5,1.5,1,3.333333333,lam,1,-1,6240,-1,6183,-1
1.5,0.5,1,3.333333333,lam,1,-1,-1,-1,6195,-1
1.5,1.5,1,3.333333333,lam,1,-1,6170,-1,6227,-1
2.5,1.5,1,3.333333333,lam,1,-1,6180,-1,6238,-1
0.5,0.5,1,3.333333333,rho,1,-1,6110,-1,-1,-1
1.5,0.5,1,3.333333333,rho,1,-1,6110,-1,-1,-1
1.5,0.5,2,3.333333333,lam,2,-1,-1,-1,6423,-1
2.5,0.5,2,3.333333333,lam,2,-1,-1,-1,6444,-1
0.5,1.5,2,3.333333333,lam,2,-1,-1,-1,6411,-1
1.5,1.5,2,3.333333333,lam,2,-1,-1,-1,6434,-1
2.5,1.5,2,3.333333333,lam,2,-1,-1,-1,6465,-1
3.5,1.5,2,3.333333333,lam,2,-1,-1,-1,6472,-1
0.5,0.5,0,3.333333333,rpl,2,-1,-1,-1,6381,-1
1.5,1.5,0,3.333333333,rpl,2,-1,-1,-1,6392,-1
0.5,0.5,0,3.333333333,rpr,2,-1,-1,-1,-1,-1
1.5,1.5,0,3.333333333,rpr,2,-1,-1,-1,-1,-1
1.5,0.5,2,3.333333333,mix,2,-1,-1,-1,-1,-1
2.5,0.5,2,3.333333333,mix,2,-1,-1,-1,-1,-1
0.5,0.5,1,3.333333333,mix,2,-1,-1,-1,-1,-1
1.5,0.5,1,3.333333333,mix,2,-1,-1,-1,-1,-1
0.5,0.5,0,3.333333333,mix,2,-1,-1,-1,-1,-1
1.5,0.5,2,3.333333333,rho,2,-1,-1,-1,-1,-1
2.5,0.5,2,3.333333333,rho,2,-1,-1,-1,-1,-1
0.5,1.5,2,3.333333333,rho,2,-1,-1,-1,-1,-1
1.5,1.5,2,3.333333333,rho,2,-1,-1,-1,-1,-1
2.5,1.5,2,3.333333333,rho,2,-1,-1,-1,-1,-1
3.5,1.5,2,3.333333333,rho,2,-1,-1,-1,-1,-1
