J_tot,S_tot,L_tot,SU_tot,ModEx,HO_n,Yoshida,Hosaka,Roberts,Kim,Mohanta
0.5,0.5,0,3.333333333,grd,0,6076,6036,6081,6047,6014
1.5,1.5,0,3.333333333,grd,0,6094,6063,6102,6064,6019
0.5,0.5,1,3.333333333,lam,1,6333,-1,6301,6273,-1
0.5,1.5,1,3.333333333,lam,1,6340,6500,6312,6290,-1
1.5,0.5,1,3.333333333,lam,1,6336,-1,6304,6301,-1
1.5,1.5,1,3.333333333,lam,1,6344,6430,6311,6329,-1
2.5,1.5,1,3.333333333,lam,1,6345,6430,6311,6339,-1
0.5,0.5,1,3.333333333,rho,1,6437,6340,-1,-1,-1
1.5,0.5,1,3.333333333,rho,1,6438,6340,-1,-1,-1
1.5,0.5,2,3.333333333,lam,2,6528,-1,6478,6522,-1
2.5,0.5,2,3.333333333,lam,2,6561,-1,6492,6541,-1
0.5,1.5,2,3.333333333,lam,2,6517,-1,-1,6511,-1
1.5,1.5,2,3.333333333,lam,2,6559,-1,-1,6532,-1
2.5,1.5,2,3.333333333,lam,2,6566,-1,6494,6559,-1
3.5,1.5,2,3.333333333,lam,2,-1,-1,6497,6567,-1
0.5,0.5,0,3.333333333,rpl,2,6561,-1,6472,6480,-1
1.5,1.5,0,3.333333333,rpl,2,-1,-1,-1,6491,-1
0.5,0.5,0,3.333333333,rpr,2,-1,-1,-1,-1,-1
1.5,1.5,0,3.333333333,rpr,2,-1,-1,-1,-1,-1
1.5,0.5,2,3.333333333,mix,2,-1,-1,-1,-1,-1
2.5,0.5,2,3.333333333,mix,2,6657,-1,-1,-1,-1
0.5,0.5,1,3.333333333,mix,2,-1,-1,-1,-1,-1
1.5,0.5,1,3.333333333,mix,2,-1,-1,-1,-1,-1
0.5,0.5,0,3.333333333,mix,2,-1,-1,-1,-1,-1
1.5,0.5,2,3.333333333,rho,2,-1,-1,-1,-1,-1
2.5,0.5,2,3.333333333,rho,2,-1,-1,-1,-1,-1
0.5,1.5,2,3.333333333,rho,2,-1,-1,-1,-1,-1
1.5,1.5,2,3.333333333,rho,2,-1,-1,-1,-1,-1
2.5,1.5,2,3.333333333,rho,2,-1,-1,-1,-1,-1
3.5,1.5,2,3.333333333,rho,2,-1,-1,6667,-1,-1
