J_tot,S_tot,L_tot,SU_tot,ModEx,HO_n,Yoshida,Hosaka,Roberts,Kim,Mohanta
0.5,0.5,0,3.333333333,grd,0,5823,5809,5833,5810,5820
1.5,1.5,0,3.333333333,grd,0,5845,5835,5858,5829,5836
0.5,0.5,1,3.333333333,lam,1,6127,-1,6099,6043,-1
0.5,1.5,1,3.333333333,lam,1,6135,6020,6106,6065,-1
1.5,0.5,1,3.333333333,lam,1,6132,-1,6101,6079,-1
1.5,1.5,1,3.333333333,lam,1,6141,5960,6105,6117,-1
2.5,1.5,1,3.333333333,lam,1,6144,5980,6172,6129,-1
0.5,0.5,1,3.333333333,rho,1,6246,5910,-1,-1,-1
1.5,0.5,1,3.333333333,rho,1,6246,5920,-1,-1,-1
1.5,0.5,2,3.333333333,lam,2,6356,-1,6308,6316,-1
2.5,0.5,2,3.333333333,lam,2,6397,-1,6325,6341,-1
0.5,1.5,2,3.333333333,lam,2,6343,-1,-1,6304,-1
1.5,1.5,2,3.333333333,lam,2,6393,-1,-1,6330,-1
2.5,1.5,2,3.333333333,lam,2,6402,-1,6328,6365,-1
3.5,1.5,2,3.333333333,lam,2,-1,-1,6333,6373,-1
0.5,0.5,0,3.333333333,rpl,2,6395,-1,6294,6274,-1
1.5,1.5,0,3.333333333,rpl,2,-1,-1,-1,6286,-1
0.5,0.5,0,3.333333333,rpr,2,-1,-1,-1,-1,-1
1.5,1.5,0,3.333333333,rpr,2,-1,-1,-1,-1,-1
1.5,0.5,2,3.333333333,mix,2,-1,-1,-1,-1,-1
2.5,0.5,2,3.333333333,mix,2,6505,-1,-1,-1,-1
0.5,0.5,1,3.333333333,mix,2,-1,-1,-1,-1,-1
1.5,0.5,1,3.333333333,mix,2,-1,-1,-1,-1,-1
0.5,0.5,0,3.333333333,mix,2,-1,-1,-1,-1,-1
1.5,0.5,2,3.333333333,rho,2,-1,-1,-1,-1,-1
2.5,0.5,2,3.333333333,rho,2,-1,-1,-1,-1,-1
0.5,1.5,2,3.333333333,rho,2,-1,-1,-1,-1,-1
1.5,1.5,2,3.333333333,rho,2,-1,-1,-1,-1,-1
2.5,1.5,2,3.333333333,rho,2,-1,-1,-1,-1,-1
3.5,1.5,2,3.333333333,rho,2,-1,-1,6554,-1,-1
