omegas,sigmas,cascades,J_tot,S_tot,L_tot,ModEx
6064,5804,5925,0.5,0.5,0,grd
6093,5832,5953,1.5,1.5,0,grd
6315,6108,6198,0.5,0.5,1,lam
6337,6131,6220,0.5,1.5,1,lam
6321,6114,6204,1.5,0.5,1,lam
6343,6137,6227,1.5,1.5,1,lam
6353,6147,6237,2.5,1.5,1,lam
6465,6305,6368,0.5,0.5,1,rho
6471,6311,6374,1.5,0.5,1,rho
6567,6415,6473,1.5,0.5,2,lam
6577,6425,6483,2.5,0.5,2,lam
6584,6431,6489,0.5,1.5,2,lam
6590,6437,6496,1.5,1.5,2,lam
6600,6448,6506,2.5,1.5,2,lam
6614,6462,6520,3.5,1.5,2,lam
6573,6421,6479,0.5,0.5,0,rpl
6602,6450,6508,1.5,1.5,0,rpl
6874,6814,6818,0.5,0.5,0,rpr
6902,6842,6847,1.5,1.5,0,rpr
6717,6611,6643,1.5,0.5,2,mix
6728,6621,6653,2.5,0.5,2,mix
6719,6613,6645,0.5,0.5,1,mix
6726,6619,6651,1.5,0.5,1,mix
6724,6617,6649,0.5,0.5,0,mix
6868,6807,6812,1.5,0.5,2,rho
6878,6818,6823,2.5,0.5,2,rho
6884,6824,6829,0.5,1.5,2,rho
6890,6830,6835,1.5,1.5,2,rho
6900,6840,6845,2.5,1.5,2,rho
6914,6854,6859,3.5,1.5,2,rho
